race,budget,homecharge,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,person,resp_index,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5,ev_av,icev_av
White,25000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY_claOtDN1mnw**,85.0,1.0,28.0,22500.0,22500.0,400.0,200.0,12.5,15.0,75.0,20000.0,22500.0,300.0,400.0,5.0,5.0,100.0,17500.0,20000.0,300.0,200.0,7.5,7.5,25.0,25000.0,22500.0,200.0,400.0,15.0,15.0,25.0,22500.0,17500.0,400.0,400.0,12.5,15.0,50.0,20000.0,25000.0,200.0,300.0,7.5,15.0,50.0,17500.0,17500.0,300.0,300.0,7.5,5.0,10.0,22500.0,22500.0,200.0,400.0,10.0,12.5,50.0,20000.0,20000.0,300.0,300.0,5.0,12.5,75.0,22500.0,20000.0,400.0,200.0,5.0,7.5,50.0,19.0,2.0,2.0,2.0,2.0,1,1
White,40000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY-XyiaPSY1NVA**,70.0,1.0,23.0,36000.0,36000.0,400.0,300.0,10.0,7.5,25.0,28000.0,40000.0,400.0,200.0,12.5,5.0,100.0,40000.0,36000.0,300.0,300.0,15.0,5.0,50.0,40000.0,32000.0,200.0,400.0,7.5,15.0,10.0,28000.0,32000.0,400.0,200.0,10.0,10.0,100.0,28000.0,40000.0,200.0,300.0,15.0,10.0,25.0,32000.0,28000.0,200.0,200.0,5.0,7.5,75.0,36000.0,40000.0,200.0,400.0,12.5,12.5,25.0,32000.0,40000.0,400.0,200.0,7.5,10.0,50.0,28000.0,32000.0,400.0,400.0,5.0,12.5,25.0,40.0,1.0,1.0,3.0,1.0,1,1
White,15000.0,0,1,1,1,1,1,1,1,1,1,1,4k_AFcoRAY83dhnmX9kFrw**,84.0,0.0,28.0,13500.0,13500.0,400.0,200.0,12.5,15.0,75.0,12000.0,13500.0,300.0,400.0,5.0,5.0,100.0,10500.0,12000.0,300.0,200.0,7.5,7.5,25.0,15000.0,13500.0,200.0,400.0,15.0,15.0,25.0,13500.0,10500.0,400.0,400.0,12.5,15.0,50.0,12000.0,15000.0,200.0,300.0,7.5,15.0,50.0,10500.0,10500.0,300.0,300.0,7.5,5.0,10.0,13500.0,13500.0,200.0,400.0,10.0,12.5,50.0,12000.0,12000.0,300.0,300.0,5.0,12.5,75.0,13500.0,12000.0,400.0,200.0,5.0,7.5,50.0,96.0,4.0,4.0,4.0,4.0,1,1
White,15000.0,1,1,2,2,2,2,2,2,2,1,2,4k_AFcoRAY_r7-5pYqkCRw**,55.0,1.0,18.0,10500.0,13500.0,200.0,200.0,7.5,15.0,75.0,10500.0,10500.0,300.0,400.0,15.0,10.0,50.0,13500.0,13500.0,300.0,300.0,5.0,15.0,50.0,13500.0,10500.0,400.0,400.0,10.0,15.0,75.0,12000.0,12000.0,200.0,200.0,7.5,15.0,10.0,10500.0,12000.0,400.0,400.0,10.0,5.0,10.0,15000.0,13500.0,400.0,200.0,10.0,10.0,10.0,15000.0,13500.0,400.0,200.0,12.5,5.0,75.0,15000.0,13500.0,400.0,400.0,7.5,12.5,75.0,12000.0,12000.0,300.0,200.0,12.5,10.0,50.0,53.0,4.0,4.0,4.0,4.0,1,1
White,35000.0,1,2,2,2,2,2,2,2,1,1,2,4k_AFcoRAY-Tme6Z6FgD1Q**,65.0,2.0,21.0,28000.0,24500.0,300.0,200.0,5.0,7.5,10.0,35000.0,24500.0,200.0,200.0,5.0,5.0,50.0,28000.0,28000.0,200.0,200.0,5.0,10.0,25.0,31500.0,31500.0,300.0,400.0,5.0,5.0,25.0,28000.0,28000.0,200.0,200.0,10.0,12.5,25.0,31500.0,35000.0,400.0,400.0,5.0,10.0,25.0,31500.0,35000.0,300.0,300.0,15.0,15.0,50.0,24500.0,28000.0,300.0,300.0,5.0,15.0,50.0,28000.0,28000.0,400.0,400.0,7.5,10.0,10.0,28000.0,24500.0,400.0,300.0,10.0,12.5,50.0,82.0,4.0,4.0,4.0,4.0,1,1
White,8000.0,0,2,1,1,2,1,1,1,2,2,2,4k_AFcoRAY_1XQKvWXdpXA**,125.0,2.0,41.0,6400.0,5600.0,200.0,200.0,15.0,12.5,25.0,6400.0,6400.0,400.0,300.0,7.5,10.0,100.0,5600.0,7200.0,300.0,400.0,7.5,12.5,25.0,6400.0,5600.0,300.0,400.0,7.5,10.0,100.0,7200.0,5600.0,400.0,200.0,7.5,7.5,50.0,6400.0,6400.0,300.0,400.0,12.5,7.5,50.0,8000.0,8000.0,400.0,300.0,5.0,10.0,50.0,7200.0,7200.0,200.0,200.0,12.5,7.5,50.0,5600.0,7200.0,400.0,200.0,5.0,5.0,10.0,8000.0,5600.0,200.0,300.0,10.0,15.0,50.0,74.0,4.0,4.0,5.0,4.0,1,1
White,20000.0,1,1,1,2,2,2,2,2,2,2,2,4k_AFcoRAY8e15sunVhucQ**,126.0,0.0,42.0,14000.0,14000.0,200.0,300.0,5.0,5.0,25.0,18000.0,16000.0,300.0,400.0,10.0,10.0,75.0,14000.0,18000.0,300.0,200.0,7.5,7.5,25.0,14000.0,14000.0,200.0,300.0,15.0,12.5,100.0,14000.0,20000.0,200.0,200.0,5.0,15.0,50.0,20000.0,14000.0,200.0,300.0,7.5,12.5,75.0,20000.0,20000.0,400.0,200.0,12.5,15.0,100.0,16000.0,14000.0,400.0,200.0,7.5,7.5,10.0,18000.0,20000.0,300.0,400.0,12.5,12.5,50.0,18000.0,14000.0,400.0,400.0,5.0,10.0,100.0,48.0,4.0,3.0,4.0,4.0,1,1
White,8000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY-piXgwJQmgYg**,50.0,2.0,16.0,8000.0,5600.0,200.0,200.0,12.5,15.0,100.0,8000.0,8000.0,300.0,400.0,5.0,15.0,25.0,8000.0,7200.0,400.0,200.0,7.5,10.0,75.0,5600.0,6400.0,300.0,300.0,12.5,12.5,10.0,7200.0,7200.0,200.0,400.0,10.0,15.0,10.0,8000.0,5600.0,400.0,400.0,12.5,7.5,25.0,5600.0,5600.0,200.0,200.0,7.5,5.0,10.0,5600.0,7200.0,400.0,400.0,10.0,5.0,100.0,7200.0,5600.0,400.0,200.0,10.0,7.5,10.0,6400.0,5600.0,400.0,300.0,15.0,7.5,100.0,92.0,6.0,5.0,5.0,5.0,1,1
White,30000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY8sUm_o9vngOw**,72.0,0.0,24.0,21000.0,30000.0,200.0,200.0,10.0,5.0,50.0,21000.0,27000.0,200.0,400.0,10.0,12.5,10.0,27000.0,24000.0,400.0,300.0,12.5,12.5,10.0,24000.0,30000.0,400.0,300.0,5.0,15.0,75.0,27000.0,24000.0,300.0,200.0,10.0,12.5,100.0,24000.0,30000.0,200.0,400.0,10.0,5.0,75.0,30000.0,24000.0,200.0,400.0,7.5,12.5,25.0,30000.0,24000.0,400.0,200.0,5.0,7.5,75.0,30000.0,24000.0,300.0,400.0,10.0,10.0,50.0,27000.0,30000.0,200.0,200.0,10.0,10.0,25.0,38.0,4.0,4.0,4.0,3.0,1,1
White,26000.0,1,2,1,1,2,2,2,2,2,1,2,4k_AFcoRAY__VdCLKksQPQ**,68.0,2.0,22.0,18200.0,18200.0,200.0,400.0,10.0,10.0,100.0,20800.0,23400.0,200.0,300.0,7.5,12.5,10.0,23400.0,18200.0,400.0,200.0,7.5,12.5,50.0,26000.0,20800.0,400.0,300.0,15.0,12.5,25.0,26000.0,20800.0,400.0,400.0,10.0,7.5,50.0,18200.0,18200.0,400.0,200.0,7.5,12.5,50.0,26000.0,26000.0,400.0,300.0,15.0,7.5,75.0,18200.0,26000.0,400.0,400.0,12.5,7.5,50.0,18200.0,20800.0,200.0,200.0,5.0,5.0,100.0,23400.0,18200.0,200.0,400.0,7.5,15.0,100.0,70.0,3.0,3.0,4.0,4.0,1,1
