race,budget,homecharge,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,person,resp_index,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5,ev_av,icev_av
White,50000.0,1,2,1,2,2,2,1,2,2,2,2,4k_AFcoRAY_IKY1505prTw**,71.0,2.0,23.0,45000.0,45000.0,400.0,300.0,10.0,7.5,25.0,35000.0,50000.0,400.0,200.0,12.5,5.0,100.0,50000.0,45000.0,300.0,300.0,15.0,5.0,50.0,50000.0,40000.0,200.0,400.0,7.5,15.0,10.0,35000.0,40000.0,400.0,200.0,10.0,10.0,100.0,35000.0,50000.0,200.0,300.0,15.0,10.0,25.0,40000.0,35000.0,200.0,200.0,5.0,7.5,75.0,45000.0,50000.0,200.0,400.0,12.5,12.5,25.0,40000.0,50000.0,400.0,200.0,7.5,10.0,50.0,35000.0,40000.0,400.0,400.0,5.0,12.5,25.0,61.0,3.0,3.0,1.0,2.0,1,1
Black or African American,25000.0,0,1,1,1,1,1,1,1,2,2,2,4k_AFcoRAY-j7Ei5uZr1Zg**,59.0,2.0,19.0,25000.0,17500.0,400.0,200.0,5.0,15.0,50.0,22500.0,17500.0,300.0,300.0,7.5,5.0,100.0,22500.0,20000.0,300.0,200.0,10.0,15.0,50.0,25000.0,22500.0,300.0,400.0,12.5,15.0,10.0,25000.0,25000.0,300.0,300.0,5.0,15.0,50.0,17500.0,17500.0,200.0,200.0,5.0,10.0,10.0,20000.0,20000.0,300.0,200.0,12.5,12.5,75.0,22500.0,20000.0,200.0,300.0,12.5,12.5,75.0,25000.0,17500.0,300.0,300.0,12.5,5.0,75.0,22500.0,17500.0,300.0,300.0,10.0,10.0,25.0,0.0,4.0,4.0,4.0,1.0,1,1
White,60000.0,1,2,1,2,2,1,1,2,2,1,1,4k_AFcoRAY8nytGO39kbxw**,88.0,1.0,29.0,42000.0,42000.0,300.0,200.0,5.0,7.5,25.0,42000.0,42000.0,200.0,300.0,5.0,10.0,25.0,42000.0,54000.0,300.0,200.0,15.0,15.0,100.0,48000.0,48000.0,400.0,200.0,15.0,5.0,10.0,54000.0,42000.0,400.0,300.0,12.5,15.0,50.0,42000.0,60000.0,300.0,300.0,10.0,15.0,75.0,60000.0,42000.0,400.0,300.0,5.0,15.0,50.0,60000.0,42000.0,200.0,200.0,5.0,10.0,100.0,42000.0,48000.0,300.0,300.0,5.0,5.0,50.0,42000.0,48000.0,200.0,300.0,5.0,15.0,25.0,60.0,4.0,4.0,4.0,4.0,1,1
White,10000.0,0,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY91--_SOdiKwA**,83.0,2.0,27.0,9000.0,8000.0,400.0,300.0,7.5,7.5,100.0,10000.0,10000.0,200.0,300.0,12.5,7.5,25.0,9000.0,9000.0,200.0,400.0,15.0,10.0,75.0,7000.0,10000.0,400.0,200.0,12.5,7.5,25.0,9000.0,10000.0,400.0,400.0,5.0,7.5,75.0,9000.0,10000.0,300.0,400.0,10.0,7.5,100.0,8000.0,9000.0,200.0,200.0,15.0,12.5,25.0,7000.0,10000.0,400.0,400.0,10.0,12.5,25.0,10000.0,9000.0,400.0,200.0,5.0,15.0,25.0,7000.0,8000.0,400.0,200.0,5.0,10.0,100.0,80.0,5.0,5.0,4.0,4.0,1,1
White,30000.0,1,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY-MIlWFvSENjQ**,66.0,0.0,22.0,21000.0,21000.0,200.0,400.0,10.0,10.0,100.0,24000.0,27000.0,200.0,300.0,7.5,12.5,10.0,27000.0,21000.0,400.0,200.0,7.5,12.5,50.0,30000.0,24000.0,400.0,300.0,15.0,12.5,25.0,30000.0,24000.0,400.0,400.0,10.0,7.5,50.0,21000.0,21000.0,400.0,200.0,7.5,12.5,50.0,30000.0,30000.0,400.0,300.0,15.0,7.5,75.0,21000.0,30000.0,400.0,400.0,12.5,7.5,50.0,21000.0,24000.0,200.0,200.0,5.0,5.0,100.0,27000.0,21000.0,200.0,400.0,7.5,15.0,100.0,3.0,1.0,1.0,1.0,1.0,1,1
White,20000.0,1,2,1,1,1,1,1,1,1,1,1,4k_AFcoRAY8LKiOskS9oLg**,41.0,2.0,13.0,20000.0,14000.0,300.0,200.0,10.0,12.5,10.0,20000.0,16000.0,400.0,300.0,7.5,12.5,75.0,20000.0,16000.0,200.0,300.0,10.0,5.0,100.0,18000.0,14000.0,300.0,200.0,7.5,7.5,75.0,16000.0,18000.0,400.0,400.0,15.0,7.5,10.0,18000.0,14000.0,300.0,300.0,10.0,15.0,75.0,16000.0,20000.0,200.0,200.0,15.0,12.5,25.0,20000.0,18000.0,400.0,400.0,7.5,7.5,75.0,16000.0,20000.0,200.0,300.0,10.0,7.5,50.0,20000.0,20000.0,300.0,200.0,15.0,5.0,75.0,100.0,6.0,6.0,6.0,6.0,1,1
White,8000.0,1,2,2,1,2,2,2,1,1,1,1,4k_AFcoRAY_x_evbYUuCaw**,49.0,1.0,16.0,8000.0,5600.0,200.0,200.0,12.5,15.0,100.0,8000.0,8000.0,300.0,400.0,5.0,15.0,25.0,8000.0,7200.0,400.0,200.0,7.5,10.0,75.0,5600.0,6400.0,300.0,300.0,12.5,12.5,10.0,7200.0,7200.0,200.0,400.0,10.0,15.0,10.0,8000.0,5600.0,400.0,400.0,12.5,7.5,25.0,5600.0,5600.0,200.0,200.0,7.5,5.0,10.0,5600.0,7200.0,400.0,400.0,10.0,5.0,100.0,7200.0,5600.0,400.0,200.0,10.0,7.5,10.0,6400.0,5600.0,400.0,300.0,15.0,7.5,100.0,88.0,5.0,5.0,5.0,5.0,1,1
White,8000.0,1,1,2,2,2,1,2,2,2,2,1,4k_AFcoRAY_Oet4NjkWvPw**,82.0,1.0,27.0,7200.0,6400.0,400.0,300.0,7.5,7.5,100.0,8000.0,8000.0,200.0,300.0,12.5,7.5,25.0,7200.0,7200.0,200.0,400.0,15.0,10.0,75.0,5600.0,8000.0,400.0,200.0,12.5,7.5,25.0,7200.0,8000.0,400.0,400.0,5.0,7.5,75.0,7200.0,8000.0,300.0,400.0,10.0,7.5,100.0,6400.0,7200.0,200.0,200.0,15.0,12.5,25.0,5600.0,8000.0,400.0,400.0,10.0,12.5,25.0,8000.0,7200.0,400.0,200.0,5.0,15.0,25.0,5600.0,6400.0,400.0,200.0,5.0,10.0,100.0,85.0,4.0,5.0,4.0,5.0,1,1
White,35000.0,1,2,2,1,2,1,2,1,2,2,2,4k_AFcoRAY8NYQoxBGTY8A**,58.0,1.0,19.0,35000.0,24500.0,400.0,200.0,5.0,15.0,50.0,31500.0,24500.0,300.0,300.0,7.5,5.0,100.0,31500.0,28000.0,300.0,200.0,10.0,15.0,50.0,35000.0,31500.0,300.0,400.0,12.5,15.0,10.0,35000.0,35000.0,300.0,300.0,5.0,15.0,50.0,24500.0,24500.0,200.0,200.0,5.0,10.0,10.0,28000.0,28000.0,300.0,200.0,12.5,12.5,75.0,31500.0,28000.0,200.0,300.0,12.5,12.5,75.0,35000.0,24500.0,300.0,300.0,12.5,5.0,75.0,31500.0,24500.0,300.0,300.0,10.0,10.0,25.0,89.0,5.0,5.0,5.0,5.0,1,1
White,25000.0,0,2,1,2,2,2,1,2,1,2,1,4k_AFcoRAY-PfvtmLuPXDw**,120.0,0.0,40.0,22500.0,22500.0,300.0,400.0,5.0,15.0,50.0,17500.0,20000.0,200.0,300.0,7.5,5.0,10.0,17500.0,22500.0,300.0,200.0,15.0,10.0,10.0,17500.0,20000.0,300.0,300.0,5.0,5.0,100.0,22500.0,17500.0,300.0,200.0,12.5,7.5,75.0,20000.0,17500.0,400.0,200.0,5.0,15.0,75.0,25000.0,22500.0,300.0,200.0,15.0,5.0,10.0,17500.0,22500.0,400.0,400.0,12.5,7.5,75.0,17500.0,22500.0,300.0,300.0,15.0,7.5,10.0,22500.0,20000.0,300.0,400.0,7.5,15.0,75.0,65.0,2.0,6.0,4.0,6.0,1,1
White,35000.0,0,2,2,2,2,2,2,2,2,2,2,4k_AFcoRAY9-sSFtrFFeFQ**,57.0,0.0,19.0,35000.0,24500.0,400.0,200.0,5.0,15.0,50.0,31500.0,24500.0,300.0,300.0,7.5,5.0,100.0,31500.0,28000.0,300.0,200.0,10.0,15.0,50.0,35000.0,31500.0,300.0,400.0,12.5,15.0,10.0,35000.0,35000.0,300.0,300.0,5.0,15.0,50.0,24500.0,24500.0,200.0,200.0,5.0,10.0,10.0,28000.0,28000.0,300.0,200.0,12.5,12.5,75.0,31500.0,28000.0,200.0,300.0,12.5,12.5,75.0,35000.0,24500.0,300.0,300.0,12.5,5.0,75.0,31500.0,24500.0,300.0,300.0,10.0,10.0,25.0,0.0,1.0,1.0,1.0,1.0,1,1
